BUBWO	A3	SRR6976395	1	lq	straw	exp
BUBWP	A4	SRR6976400	1	lq	straw	exp
BUAHS	A6	SRR6976401	2	lq	straw	sta
BUAHT	A7	SRR6976394	2	lq	straw	sta
BUAHU	A9	SRR6976393	2	lq	straw	sta
BUAHW	B1	SRR6976404 	3	lq	alder	exp
BUAHX	B3	SRR6976397 	3	lq	alder	exp
BUAHY	B5	SRR6976405	3	lq	alder	exp
BUAHZ	D1	SRR6976396	4	lq	malt	exp
BUANA	D3	SRR6976399	4	lq	malt	exp
BUANB	D4	SRR6976402	4	lq	malt	exp
BUANC	E2	SRR6976403	5	so	straw	mix
BUANG	E3	SRR6976398	5	so	straw	mix
BUANH	E4	SRR6976392	5	so	straw	mix
